	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	main city	latitude	longitude
California-Lexington Park, MD	969,6380465	1051,392831	1140,040749	1236,162994	1340,389762	1453,404383	1575,947803	1708,82344	1852,902452	2009,12945	2178,528687	2362,210777	2561,379977	2777,342076	3011,512965	3265,427912	3540,751634	3839,289204	4162,997894	4514	4884	5127	5249	5657,154642	California, MD	38,305556	-76,494444
Canton-Massillon, OH	2387,700203	2599,323661	2829,703446	3080,501945	3353,528881	3650,754377	3974,323166	4326,570072	4710,036855	5127,490555	5581,943454	6076,674815	6615,254546	7201,568957	7839,848805	8534,699819	9291,135942	10114,6155	11011,0806	11987	12437	13234	14044	15187,38967	Canton, OH	40,805	-81,375833
Cape Coral-Fort Myers, FL	11244,82876	11582,82637	11930,98353	12289,60562	12659,00718	13039,51224	13431,45454	13835,17785	14251,03631	14679,39465	15120,62861	15575,12521	16043,28308	16525,51287	17022,23755	17533,89279	18060,9274	18603,80364	19162,99768	19739	19726	20141	20906	21516,05646	Cape Coral, FL	26,639722	-81,9825
Cape Girardeau, MO-IL	1927,181676	1984,770446	2044,080105	2105,162077	2168,069324	2232,856389	2299,579446	2368,296346	2439,066671	2511,951781	2587,014871	2664,321025	2743,937271	2825,932639	2910,378224	2997,347243	3086,915104	3179,159465	3274,160307	3372	3408	3457	3571	3674,613744	Cape Girardeau, MO	37,309167	-89,546389
Carbondale-Marion, IL	1831,110915	1908,385818	1988,921807	2072,856504	2160,333338	2251,501791	2346,517654	2445,543291	2548,747919	2656,307896	2768,407023	2885,236857	3006,997039	3133,895636	3266,149493	3403,984609	3547,636519	3697,350699	3853,382982	4016	4200	4270	4349	4525,100949	Carbondale, IL	37,726	-89,22
Carson City, NV	2420,987508	2434,164447	2447,413106	2460,733875	2474,127146	2487,593314	2501,132775	2514,745929	2528,433177	2542,194921	2556,031568	2569,943525	2583,931202	2597,99501	2612,135366	2626,352684	2640,647384	2655,019888	2669,470618	2684	2715	2724	2713	2727,686369	Carson City, NV	39,160833	-119,753889
Casper, WY	953,0329477	1046,463715	1149,053986	1261,701714	1385,392884	1521,210141	1670,342268	1834,094593	2013,900408	2211,33352	2428,122026	2666,163434	2927,541278	3214,543348	3529,681721	3875,714745	4255,671184	4672,876724	5130,983089	5634	6157	6537	6694	7291,65623	Casper, WY	42,834722	-106,325
Cedar Rapids, IA	5251,910509	5519,359254	5800,427582	6095,809057	6406,232565	6732,464106	7075,30869	7435,612321	7814,264086	8212,198345	8630,397044	9069,892129	9531,7681	10017,16468	10527,27964	11063,37174	11626,76384	12218,84617	12841,07975	13495	13985	14270	14844	15563,28805	Cedar Rapids, IA	41,983056	-91,668611
Chambersburg-Waynesboro, PA	1920,216192	1995,201544	2073,115109	2154,071236	2238,188738	2325,591068	2416,406501	2510,768319	2608,815011	2710,690473	2816,544219	2926,531605	3040,81405	3159,559279	3282,941565	3411,141988	3544,348698	3682,757193	3826,570606	3976	4031	4145	4282	4442,929745	Chambersburg, PA	39,9375	-77,661111
Champaign-Urbana, IL	4668,526648	4830,241011	4997,557041	5170,668777	5349,776977	5535,089355	5726,820818	5925,19372	6130,438115	6342,792026	6562,501722	6789,822002	7025,01649	7268,357945	7520,12857	7780,620346	8050,135367	8328,986193	8617,496208	8916	9222	9308	9525	9843,892846	Champaign, IL	40,112981	-88,261227
Charleston, WV	4236,528816	4474,669596	4726,196577	4991,862216	5272,461266	5568,833152	5881,864486	6212,491717	6561,703934	6930,545823	7320,120792	7731,594276	8166,197217	8625,229754	9110,065105	9622,15368	10163,02742	10734,30437	11337,69354	11975	12508	12983	13294	14001,5033	Charleston, WV	38,347222	-81,633333
Charleston-North Charleston, SC	6386,358668	6888,493004	7430,108193	8014,308461	8644,442104	9324,120685	10057,23973	10848,00104	11700,93682	12620,9356	13613,27026	14683,62832	15838,14442	17083,43561	18426,63915	19875,45352	21438,18248	23123,78269	24941,91504	26903	28050	29673	31017	33277,97358	Charleston, SC	32,783333	-79,933333
Charlotte-Concord-Gastonia, NC-SC	27162,94829	29354,29186	31722,41986	34281,59421	37047,22738	40035,97522	43265,8373	46756,26525	50528,27997	54604,59819	59009,76929	63770,32314	68914,92988	74474,57261	80482,73393	86975,59762	93992,26657	101574,9982	109769,4592	118625	124946	128654	137189	147430,3723	Charlotte, NC	35,226944	-80,843333
Charlottesville, VA	3234,095151	3421,076839	3618,869017	3828,096701	4049,421043	4283,541422	4531,197651	4793,172313	5070,293241	5363,436129	5673,527296	6001,546622	6348,530637	6715,575798	7103,841956	7514,556019	7949,015831	8408,594269	8894,743587	9409	9988	10320	10470	11042,24622	Charlottesville, VA	38,0299	-78,479
Chattanooga, TN-GA	7262,366631	7664,336158	8088,554561	8536,253309	9008,732031	9507,362289	10033,59156	10588,94745	11175,04209	11793,57688	12446,34735	13135,24845	13862,27999	14629,55248	15439,29324	16293,85288	17195,7121	18147,48893	19151,94628	20212	20713	21444	22405	23580,06945	Chattanooga, TN	35,045556	-85,267222
Cheyenne, WY	791,4008228	867,8034996	951,582172	1043,448927	1144,184595	1254,645392	1375,770193	1508,58851	1654,229248	1813,930298	1989,049058	2181,073969	2391,637168	2622,528363	2875,710039	3153,334144	3457,760374	3791,576237	4157,619038	4559	4928	5173	5408	5884,128152	Cheyenne, WY	41,145556	-104,801944
Chicago-Naperville-Elgin, IL-IN-WI	165119,4255	175216,0899	185930,1417	197299,3325	209363,7226	222165,8218	235750,7392	250166,3423	265463,4257	281695,8898	298920,9308	317199,2426	336595,2301	357177,2367	379017,7846	402193,8306	426787,0373	452884,0607	480576,8557	509963	526534	548477	571008	603911,8057	Chicago, IL	41,881944	-87,627778
Chico, CA	3803,839903	3897,275705	3993,006621	4091,089028	4191,580687	4294,540777	4400,029932	4508,110276	4618,845456	4732,300684	4848,542776	4967,640186	5089,66305	5214,683229	5342,774347	5474,011838	5608,472986	5746,236978	5887,384942	6032	6092	6142	6325	6476,639629	Chico, CA	39,74	-121,835556
Cincinnati, OH-KY-IN	29669,79754	31564,99889	33581,25897	35726,31059	38008,38049	40436,22091	43019,14316	45767,05332	48690,49022	51800,6659	55109,50855	58629,70833	62374,76598	66359,04461	70597,82482	75107,36327	79904,95502	85008,9999	90439,07305	96216	99531	103666	108236	114734,6225	Cincinnati, OH	39,1	-84,516667
Clarksville, TN-KY	1820,484328	1988,484974	2171,989306	2372,428058	2591,363998	2830,50411	3091,712906	3377,026962	3688,670794	4029,074206	4400,891233	4807,020833	5250,629489	5735,1759	6264,437945	6842,542138	7473,995803	8163,722216	8917,098989	9740	10252	11171	11470	12439,0631	Clarksville, TN	36,529722	-87,359167
Cleveland, TN	758,2376096	819,1025825	884,8532863	955,8819067	1032,612111	1115,501573	1205,044709	1301,775618	1406,271276	1519,154971	1641,100025	1772,833808	1915,142076	2068,873663	2234,945535	2414,348268	2608,151952	2817,512574	3043,678916	3288	3337	3541	3798	4080,217603	Cleveland, TN	35,171389	-84,871111
Cleveland-Elyria, OH	32349,42375	34323,6491	36418,35775	38640,90259	40999,08522	43501,18337	46155,97992	48972,79378	51961,51258	55132,62733	58497,26934	62067,24921	65855,09834	69874,11287	74138,4004	78662,9295	83463,58222	88557,20987	93961,69217	99696	102845	108122	111597	118015,8288	Cleveland, OH	41,482222	-81,669722
Coeur d'Alene, ID	4011,840089	4023,536472	4035,266955	4047,031638	4058,83062	4070,664002	4082,531884	4094,434367	4106,37155	4118,343536	4130,350426	4142,392321	4154,469325	4166,581538	4178,729064	4190,912006	4203,130467	4215,38455	4227,67436	4240	4235	4303	4264	4276,395408	Coeur d'Alene, ID	47,692778	-116,78
College Station-Bryan, TX	1416,63671	1535,267955	1663,833556	1803,165429	1954,165159	2117,809828	2295,158343	2487,358284	2695,653331	2921,391312	3166,032925	3431,161186	3718,491679	4029,88365	4367,352044	4733,080539	5129,435676	5558,982176	6024,499534	6529	6889	7157	7590	8176,48469	College Station, TX	30,601389	-96,314444
Colorado Springs, CO	6817,517374	7294,841069	7805,584247	8352,086751	8936,852243	9562,559681	10232,07559	10948,46718	11715,01642	12535,23508	13412,88077	14351,9742	15356,8176	16432,01441	17582,49037	18813,51609	20130,73122	21540,17024	23048,29014	24662	26011	27154	28029	29863,02294	Colorado Springs, CO	38,863333	-104,791944
Columbia, MO	1643,617749	1763,112595	1891,294995	2028,796555	2176,2948	2334,516511	2504,241309	2686,305497	2881,606176	3091,10567	3315,836266	3556,905301	3815,500617	4092,896417	4390,459538	4709,656193	5052,059189	5419,355683	5813,355489	6236	6497	6797	7120	7602,557556	Columbia, MO	38,951554	-92,328597
Columbia, SC	12666,05845	13283,97001	13932,0263	14611,6979	15324,52717	16072,1317	16856,20799	17678,53531	18540,97974	19445,49837	20394,1438	21389,06873	22432,53092	23526,89823	24674,65408	25878,403	27140,87662	28464,9398	29853,59719	31310	31644	32640	34301	35896,53091	Columbia, SC	34,000833	-81,035278
Columbus, GA-AL	4083,780719	4312,404444	4553,827291	4808,765797	5077,976616	5362,258757	5662,455966	5979,459219	6314,209377	6667,69997	7040,980151	7435,157806	7851,402848	8290,95068	8755,105874	9245,246029	9762,825873	10309,38157	10886,53529	11496	11822	12438	12756	13432,26408	Columbus, GA	32,492222	-84,940278
Columbus, IN	158,489815	186,8582445	220,3043996	259,7371532	306,2280593	361,0404717	425,6638746	501,8543579	591,6823381	697,5888198	822,4517281	969,6641143	1143,226359	1347,854879	1589,110294	1873,54853	2208,898971	2604,274501	3070,41914	3620	4114	4322	4826	5558,673268	Columbus, IN	39,213998	-85,911056
Columbus, OH	27289,50396	29046,12462	30915,81865	32905,86456	35024,00938	37278,49882	39678,10936	42232,18241	44950,6607	47844,12697	50923,84516	54201,80429	57690,76507	61404,30966	65356,89448	69563,9065	74041,72315	78807,77609	83880,61903	89280	91925	96147	100512	106590,6579	Columbus, OH	39,983333	-82,983333
Corpus Christi, TX	981,8318531	1140,147765	1323,991396	1537,478975	1785,390453	2073,276528	2407,582919	2795,794693	3246,603847	3770,103922	4378,015998	5083,951126	5903,715077	6855,662228	7961,10652	9244,798666	10735,48032	12466,5276	14476,69836	16811	18121	20291	21915	24958,02066	Corpus Christi, TX	27,742778	-97,401944
